Name,Year,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM
Lonzo Ball,17,PG,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7
Jayson Tatum,17,SF,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,-0.5,1.5,1
Josh Jackson,17,SF,77,1959,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2,1.4,12.2,26,-2,1.2,-0.7,-0.018,-3.1,-1.2,-4.3
De'Aaron Fox,17,PG,73,2026,11.2,0.478,0.192,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.014,-2.8,-1.5,-4.4
Jonathan Isaac,17,PF,27,536,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-4.9,3.1,-1.8
Lauri Markkanen,17,PF,68,2020,15.6,0.552,0.465,0.193,4,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9
Dennis Smith,17,PG,69,2049,12.8,0.473,0.331,0.189,2.6,11.8,7,29.5,1.7,0.8,15,28.9,-2.4,1.7,-0.7,-0.017,-1.5,-0.7,-2.3
Zach Collins,17,C,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2
Malik Monk,17,SG,63,854,10.3,0.477,0.572,0.089,1,7.5,4.2,16.9,1.1,0.9,9.8,24.9,-0.5,0.5,0,0.001,-1,-3.4,-4.4
Luke Kennard,17,SG,73,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-1.1,-0.4,-1.5
Donovan Mitchell,17,SG,79,2638,16.7,0.541,0.404,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1
Bam Adebayo,17,C,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.6,1.8,0.2
Justin Jackson,17,SF,68,1506,9.2,0.521,0.442,0.086,2,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1,0.031,-2,-1.5,-3.5
