Name,Year,Height,Wingspan,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Lonzo Ball,16,78,81,36,36,1263,24.7,0.673,0.668,0.566,0.286,609,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,4.8,2,6.8,0.214,8.7,3.5,12.2
Jayson Tatum,16,80,83,29,27,966,22,0.566,0.507,0.321,0.381,467,4.8,19.7,12.6,12.4,2.3,3.2,15,26.2,2.3,1.8,4.1,0.169,3.5,4.1,7.5
Josh Jackson,16,80,82,35,35,1077,24.1,0.559,0.552,0.21,0.403,572,8.7,17.4,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.1,5.7,10.7
De'Aaron Fox,16,75,78,36,34,1064,22.6,0.549,0.498,0.154,0.474,608,2,12.2,7.2,28.6,2.7,0.7,13.7,27.6,3,2.1,5.1,0.192,5.1,3.7,8.7
Jonathan Isaac,16,83,85,32,32,839,24.6,0.614,0.568,0.348,0.461,364,7.7,25,16.7,7.5,2.4,6.2,13.3,20.3,2.4,1.9,4.3,0.205,4.7,6.2,10.9
Lauri Markkanen,16,84,83,37,37,1140,25,0.635,0.584,0.434,0.436,534,10,17.5,14,5.6,0.8,1.8,8.1,22.4,4.9,1.8,6.7,0.235,7.8,1.5,9.3
Dennis Smith,16,75,75,32,32,1114,23.1,0.563,0.52,0.364,0.476,621,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,3.1,0.9,4,0.142,6.3,1,7.3
Zach Collins,16,84,85,39,0,673,30.9,0.703,0.676,0.101,0.715,360,12,23.2,18.3,4.4,1.5,9.8,17.8,24.8,2.6,2.4,5,0.298,4,7.5,11.5
Malik Monk,16,75,76,38,37,1218,21.5,0.586,0.543,0.47,0.323,661,1.1,7.2,4.2,13.3,1.6,1.5,10.4,27.2,3.9,1.9,5.8,0.189,6.7,1.3,8
Luke Kennard,16,77,77,73,47,2275,22.3,0.6,0.548,0.455,0.349,1073,4,11.5,7.9,12.4,1.7,0.8,8.3,22.9,8.4,2.5,10.9,0.192,7.2,1,8.2
Donovan Mitchell,16,75,73,34,0,345,10,0.624,0.608,0.538,0.231,80,4.6,18.2,11.3,3.1,1.5,2.7,22.6,13.3,0.2,0.4,0.6,0.071,0.1,1.7,1.8
Bam Adebayo,16,73,85,38,38,1145,22,0.624,0.599,0,0.831,489,11.2,17.2,14.2,4.7,1.2,4.9,13.9,18.5,3.3,2.3,5.6,0.196,4.2,5.3,9.5
Justin Jackson,16,80,83,118,114,3430,19.4,0.546,0.523,0.37,0.241,1538,5.9,9.3,7.6,15.8,1.2,1.4,9.8,22.5,10,4.1,14.1,0.164,6.3,2.2,8.5
John Collins,16,82,83,64,34,1324,31.2,0.638,0.601,0.002,0.599,789,15.2,22.6,18.9,4.1,1.3,6,11.9,27.9,5.7,1.4,7.1,0.215,4.6,1.1,5.7
